ID,image,alt_text,caption,license_and_attribution,timeline_events,Show on Timeline Event,event_pages
cr034,cr034.jpg (https://dl.airtable.com/.attachments/bf38c606bf47591ff1a5c98bb498098f/ccff69c2/cr034.jpg),"Black and white photograph of three black men in the entryway of a theater, facing a gesticulating white man with his back to the camera. Behind the three men, other white patrons exit through the open door into the night. ",A Carolina Theatre manager confronts prospective black patrons in the lobby.,"Photograph by Jim Thornton, courtesy of the Herald-Sun.",1961: Carolina Theatre,,
,,,,,,,
